id;uid_update;version_name;statut;description;comment
1;technologies;a cultivate;PUBLISHED;transform c Persistent;niches a
2;Industrial optimize;Avon program Towels;IN_TEST;installation;Gloves Checking
3;Analyste feed Pologne;Loan mindshare cross-media;FIELD_TEST;payment haptic calculating;c
4;array Barbade;Expanded technologies systematic;SUSPENDED;Seamless hack Pants;b
5;Intelligent Fresh;navigating Fidji;FIELD_TEST;teal c blue;Wooden Account
6;Electronics;Concrete reintermediate;PUBLISHED;matrix Midi-Pyrénées;Small
7;redundant;integrate Account interface;IN_TEST;Wooden Chips;synergistic b Front-line
8;Tasty bandwidth;a Bike Hryvnia;SUSPENDED;users indexing open-source;actuating Clothing Stagiaire
9;Ergonomic Hat Sleek;Granite Corse b;FIELD_TEST;Corse Avon Rustic;payment capability b
10;c AGP;program Horizontal Qatari;PUBLISHED;Chips Market;Royale Bahamian deposit
